case,round-1,round-2,round-3
parseTestPlan-全勾放行,PASS,PASS,-
parseTestPlan-含未测试拦截,PASS,PASS,-
parseTestPlan-含未通过(❌)拦截,PASS,PASS,-
parseTestPlan-勾选带❌判未通过,PASS,PASS,-
parseTestPlan-无TestPlan拦截,PASS,PASS,-
parseTestPlan-后续标题不误收,PASS,PASS,-
parseTestPlan-大小写+星号bullet,PASS,PASS,-
parseTestPlan-CRLF,PASS,PASS,-
migration035-全量迁移链应用,PASS,-,-
constraint-含8类型,PASS,-,-
constraint-接受task_review_required,PASS,-,-
constraint-拒绝未知类型(23514),PASS,-,-
typecheck-五包,PASS,PASS,PASS
build-五包(含next),PASS,PASS,PASS
e2e-finalize-全通过→自动合并,-,PASS,PASS
e2e-finalize-未测试→拦截+通知,-,PASS,PASS
e2e-finalize-不可合并→跳过+通知(需求3),-,PASS,PASS
e2e-finalize-PRbody渲染Markdown(需求1),-,PASS,PASS
e2e-realclaude-产出契约结构化(Summary/Changes/TestPlan),-,PASS,-
timeline-auto_merge_skipped登记(item2),-,PASS,-
e2e-finalize-复用PR刷新正文为Markdown(gh-pr-edit),-,-,PASS
